Acc	HD18MS	HD19DS
CC1	85.1	96.8
CC3	80.9	96.6
CC6	73.3	97.4
CC7	77.4	102.7
CC8	68.7	95.9
CC9	75.8	87.4
CC10	70.5	104.3
CC11	81.5	106.6
CC12	85.5	95.8
CC13	80.2	99.3
CC14	80.8	100.4
CC15	71.1	100.8
CC17	73.8	102.6
CC19	75	93.3
CC20	79.9	97.8
CC22	75.6	101.3
CC23	71.9	100.6
CC24	87.9	109.5
CC26	77.6	112.7
CC28	77.2	94.6
CC30	91.9	96.4
CC33	68.8	105.9
CC34	82.8	93.2
CC35	80.9	98.1
CC36	86.9	103.8
CC37	81.9	105.5
CC38	87.7	97.1
CC46	90.6	89.8
CC47	78.3	103.1
CC48	71.2	101.6
CC49	69.8	106.4
CC53	83.1	100.1
CC56	80.3	95.3
CC57	73.4	98.3
CC58	74.2	89.1
CC59	88.3	105.2
CC61	80.5	105.9
CC65	78	102.6
CC66	87	100.8
CC67	83.4	107.7
CC68	72.5	101.2
CC71	68.6	91.1
CC73	77	97.6
CC75	88.9	98.3
CC76	81.6	105.1
CC79	79.1	95.8
CC81	85.6	102.5
CC82	79.4	103.5
CC83	74.9	101.5
CC85	78	97.5
CC87	80.6	101.4
CC89	74.3	100.8
CC92	82.7	100.8
CC94	76.7	99.7
CC95	67.6	100.9
CC96	77.8	110.3
CC98	81.2	104.7
CC99	84.1	97.3
CC100	81.7	102
CC105	84.3	100.4
CC106	84.2	101
CC107	80.9	102.8
CC114	72.8	94
CC116	76.8	97.9
CC118	90.5	86.3
CC123	75	90.3
CC124	85.5	98.5
CC125	78	99
CC126	81.8	86.7
CC130	84.5	107.6
CC131	94.8	100
CC132	75.3	100.6
CC134	79.5	97.1
CC139	73.5	105.1
CC142	73.1	92.8
CC143	85.6	116.9
CC144	70.9	105.3
CC145	82	110.4
CC146	84.6	94.2
CC147	84	105.8
CC151	79.9	101.4
CC152	78.4	102.3
CC153	72.5	107.1
CC158	78.2	90.8
CC163	85.3	102.6
CC164	82.6	94.1
CC166	73.5	102
CC167	75	105.5
CC169	82.9	99.6
CC170	79.2	103
CC171	74.5	105.6
CC172	75.2	106.3
CC176	84.9	106.9
CC178	83.2	106.7
CC180	73	103
CC184	80.9	101.6
CC189	73	102.4
CC192	79.6	105.9
CC193	72.6	105.6
CC195	81.1	93
CC197	81.9	91.8
CC198	82.2	107.5
CC199	87.6	100.1
CC202	87.3	96.4
CC204	82.5	89.9
CC206	70.4	104.3
CC208	70.5	90.9
CC211	89.7	97.3
CC212	92.8	99.4
CC214	68.6	102
CC215	83	95.2
CC217	73.2	105.8
CC221	89.4	88
CC222	78.5	99.2
CC223	76.3	93.1
CC224	75.7	95.5
CC226	73.7	105.3
CC229	87.7	114.7
CC230	74.7	103.8
CC231	88.4	106.7
CC232	83	92.2
CC235	77.9	94.3
CC236	76	97.4
CC239	79.4	98
CC240	83.4	101.8
CC242	75.7	92.9
CC243	83.1	89.3
CC244	81.1	102.3
CC245	78.1	98.1
CC246	79.6	97.4
CC248	85.6	107.9
CC250	85.4	95.3
CC257	82	104.9
CC259	85.5	106.4
CC260	71	87.6
CC262	78.1	94.2
CC263	70.3	96.5
CC265	74.7	95.7
CC266	79.6	97.1
CC268	75.9	105.3
CC270	76.1	101.8
CC271	73.9	98
CC273	83.4	95.9
CC274	78.3	105.5
CC275	82.2	99.8
CC278	80.3	116
CC280	76.1	93.2
CC283	79.7	98.1
CC286	78.7	105.7
CC287	83	106.5
CC288	81.8	103.5
CC289	84.7	96.7
CC291	76.6	97
CC292	72.3	94.5
CC300	77	106.9
CC304	88.4	91.1
CC306	75.4	93.5
CC307	65.8	100.4
CC308	75.6	109
CC310	83.6	107.5
CC312	81.6	91.7
CC313	81.8	95.2
CC314	84.3	100.2
CC316	82.1	102.8
CC318	76.1	107
CC319	72.3	100.5
CC320	82.6	97.9
CC324	81.3	87.9
CC326	75.6	97.7
CC331	79.4	99
CC332	84.1	105.9
CC333	82.3	116.7
CC334	88.5	102.1
CC336	77.6	103.2
CC340	65.4	103.1
CC341	68.4	107.9
CC342	88.5	101.2
CC346	91.9	93.6
CC347	79.7	94.5
CC351	75.6	102.1
CC352	83.5	90.4
CC354	82.6	97.8
CC355	79.9	95.7
CC360	83.6	104
CC361	83.9	92.7
CC364	76.7	105.4
CC365	84.1	103.6
CC367	79.7	97.7
CC368	83	111.1
CC370	81.8	98
CC371	74.3	104.7
CC373	75.7	96.8
CC374	83.8	101.7
CC375	86.2	100.7
CC376	78.5	102.1
CC377	79.3	96.3
CC379	90.7	96
CC382	75.6	84.7
CC383	76.8	92.3
CC386	70	101.5
CC395	85.1	101.2
CC396	81.7	93.2
CC400	86.4	114.1
CC401	88.2	105.7
CC402	82.4	97.3
CC403	85.6	105.6
CC405	77.5	88.9
CC406	67.9	105.2
CC407	79.2	102.5
CC408	77.3	101.2
CC411	76.5	100.7
CC413	81.9	100.1
CC415	74.2	96.7
CC417	75.1	96
CC418	83.5	93.9
CC420	72	99.9
CC421	87.8	102.5
CC422	81.6	87
CC423	85.4	98.1
CC424	84.7	105.7
CC426	84.4	111.2
CC427	86.7	79.6
CC428	83.7	100.2
CC431	75	93.8
CC434	78.9	107
CC435	86.2	95.7
CC436	81.5	105.1
CC439	88.8	104.7
CC441	81.2	85
CC442	73.2	102
CC444	66.1	97.9
CC445	77.3	97.8
CC450	86.3	94.5
CC454	88.2	109.7
CC458	76.4	97.5
CC459	83.2	92.3
CC460	76.1	97.5
CC461	77	100.1
CC463	80.3	106.5
CC467	69.9	89.3
CC468	74.4	98.4
CC469	73.3	81.7
CC473	77	98.2
CC475	78.1	100
CC477	80	99.3
CC483	83.4	100.5
CC484	84.2	101.6
CC485	73.6	102.1
CC486	83.6	102.1
CC490	76.3	97.7
CC491	76.4	99.2
CC492	81.9	107.6
CC493	88.3	95.5
CC494	73.8	97.8
CC499	88.8	76.4
CC500	79.4	99.4
CC505	91.1	111.3
CC508	69.1	103
CC509	80.2	95.9
CC512	80.1	106.5
CC513	77.8	94
CC515	80.9	96.8
CC516	89.8	109
CC517	90.6	105.3
CC519	87.2	97.9
CC520	79.6	89.2
CC523	81.2	88.3
CC525	82.4	101.1
CC528	89.1	106.8
CC529	72.2	103.1
CC530	85.3	111.8
